id,weighting,tenure_type,region,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000663,1507.2801621182402,owner occupied,South West,31355,5-9 years,NA,NA,freehold
20220000664,2793.1834459724064,owner occupied,North West,18725,5-9 years,NA,NA,freehold
20220000666,2447.884397909123,housing association,Yorkshire and the Humber,27777.36,10-19 years,102,NA,NA
20220000669,1926.563822280428,private rented,East Midlands,53175,two years,168.46153846153845,NA,NA
20220000674,2660.296701180524,owner occupied,North West,26863.25,3-4 years,NA,120,leasehold
20220000676,2511.26950305544,owner occupied,Yorkshire and the Humber,11173.08,10-19 years,NA,80.76923076923077,freehold
20220000679,1372.0544520658473,owner occupied,Yorkshire and the Humber,78517.5,20-29 years,NA,96,freehold
20220000681,6888.498471240143,owner occupied,Yorkshire and the Humber,92853.66,10-19 years,NA,111.92307692307692,freehold
20220000686,4090.1117701570615,owner occupied,West Midlands,60386.5,two years,NA,152.30769230769232,freehold
20220000688,3380.3774249088137,owner occupied,North West,76238.88,20-29 years,NA,110.76923076923076,freehold
20220000695,970.0710659858576,private rented,North West,30050,one year,103.75,NA,NA
20220000707,2307.138555244771,private rented,Yorkshire and the Humber,32240,3-4 years,73.84615384615384,NA,NA
20220000711,1662.8881123189228,owner occupied,North East,37564,5-9 years,NA,NA,freehold
20220000714,1256.902884215011,owner occupied,South West,18074.5,30+ years,NA,NA,freehold
20220000718,1224.321410076561,owner occupied,South West,56427.8,5-9 years,NA,198.69230769230768,freehold
20220000719,1302.222781646485,owner occupied,South West,26410,5-9 years,NA,NA,freehold
20220000721,1746.2911223718563,owner occupied,South East,68095,30+ years,NA,NA,freehold
20220000724,2417.208308398182,owner occupied,East Midlands,58374.8,10-19 years,NA,220.0782142959573,freehold
20220000725,1634.3836151821315,owner occupied,North East,3898.08,20-29 years,NA,NA,freehold
20220000727,393.39652589819207,owner occupied,West Midlands,24737.5,one year,NA,92.3076923076923,freehold
20220000735,11285.082405068748,owner occupied,North East,24912.5,10-19 years,NA,65.53846153846153,leasehold
20220000741,4254.74153754461,owner occupied,North East,37939,30+ years,NA,NA,freehold
20220000750,3390.710850256486,owner occupied,North West,9209,10-19 years,NA,NA,freehold
20220000753,9569.262618714529,private rented,South West,81737.5,5-9 years,173.07692307692307,NA,NA
20220000757,1816.121968703019,private rented,London,37669.64,less than 1 year,346.15384615384613,NA,NA
20220000758,2094.852963012489,owner occupied,London,17235,30+ years,NA,NA,freehold
20220000762,1861.9530835033845,private rented,East,31042.25,3-4 years,196.15384615384616,NA,NA
20220000763,494.4431289282739,private rented,East,45500,one year,276.9230769230769,NA,NA
20220000764,4713.927415103492,private rented,London,60918.75,one year,415.38461538461536,NA,NA
20220000765,1082.293506606672,owner occupied,North East,56958.75,5-9 years,NA,80.76923076923077,freehold
20220000767,2770.0095577025154,owner occupied,North West,66600,10-19 years,NA,NA,freehold
20220000768,2582.2328253089645,owner occupied,South East,44265,5-9 years,NA,NA,freehold
20220000775,3509.7217142165705,owner occupied,South East,18650,10-19 years,NA,NA,freehold
20220000777,1976.009455576302,owner occupied,London,100000,20-29 years,NA,32.30769230769231,leasehold
20220000778,2500.133098421343,housing association,London,15314,30+ years,127,NA,NA
20220000785,1570.4770528980653,private rented,North West,9222.75,5-9 years,125,NA,NA
20220000795,637.6247334760209,housing association,Yorkshire and the Humber,13335,one year,87,NA,NA
20220000802,1385.255516795225,housing association,North East,11180,10-19 years,85.8755472,NA,NA
20220000803,2526.7371837161004,owner occupied,West Midlands,100000,30+ years,NA,NA,freehold
20220000804,2193.029096251468,owner occupied,West Midlands,38516.349599999994,less than 1 year,NA,439.5411910479154,freehold
20220000805,686.3796829134782,private rented,East,30999.8,less than 1 year,219.23076923076923,NA,NA
20220000808,3012.9021542971923,owner occupied,North West,99047.9628,less than 1 year,NA,NA,freehold
20220000814,1668.4018846064691,owner occupied,East,11830,two years,NA,NA,freehold
20220000817,3284.849937134253,owner occupied,London,50970.711834,30+ years,NA,NA,freehold
20220000818,2519.6668849109396,local authority,Yorkshire and the Humber,20280,5-9 years,78.23076923076923,NA,NA
20220000820,4910.555499232188,owner occupied,South East,61639.091584,5-9 years,NA,181.15384615384616,freehold
20220000823,870.0400272493404,local authority,South West,6980.52,one year,80.76923076923077,NA,NA
20220000826,594.8259628289198,local authority,London,38955,20-29 years,126.92307692307692,NA,NA
20220000833,966.6306034673132,local authority,East Midlands,13060,less than 1 year,89.07692307692307,NA,NA
20220000837,4993.476442463455,owner occupied,West Midlands,40613.24,3-4 years,NA,NA,freehold
20220000857,1209.4447898093497,private rented,London,35674.6704,two years,276.9230769230769,NA,NA
20220000859,1463.3204987875677,private rented,London,10003.920000000002,two years,207.69230769230768,NA,NA
20220000861,1658.4150565796658,owner occupied,North West,36610,20-29 years,NA,23.475009524902116,freehold
20220000872,3342.616500573156,owner occupied,Yorkshire and the Humber,24980.9,30+ years,NA,583.9526974800749,freehold
20220000880,1363.975079892103,housing association,South East,24700,10-19 years,115,NA,NA
20220000882,3062.502839167673,owner occupied,South East,95100,20-29 years,NA,276.9230769230769,freehold
